material_name,material_abbreviation,manufacturer,section,property_name,value,unit,english,test_condition,comments,source_text,source_page,chunk_type,source_verified,confirmed_by_gpt,match_layer,doi_url,llm_model,pdf_filename,gt_filename,winning_llm,processing_timestamp,f1_score,precision,recall
plastic waste,PLAS,,Physical,reduction of plastic waste,90,%,,,,"Incineration is a thermal process in which air and high temperatures (>800°C) are used to reduced more than 90 % of plastic waste (Demirbas 2000, Al-Salem et al. 2009).",Page 9,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Thermal,pyrolysis temperature,500-800,°C,,,used to reduce more than 90 % of plastic waste,In pyrolysis complex materials are cleaved into smaller molecules in a non-oxidative condition under elevated temperatures (500-800 °C) at above atmosphere pressure (Miandad et al. 2016).,Page 11,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Thermal,gasification temperature,500-1300,oC,,,used to reduce more than 90 % of plastic waste,"The process occurs in presence of oxidising agents (air, steam, or O2) at elevated temperatures (500-1300 oC) (Young 2010, Dai et al. 2015).",Page 12,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic waste,PLAS,,Thermal,operating temperature,500,°C,,,,"Gasification of plastic waste is currently conducted on the industrial scale, however, the complex behaviour of plastic scission during the operation, the tar and char formation, and high operating temperature (< 500°C) are still the main obstacles of this treatment technology.",Page 13,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
mixed plastics,MIXE,,Thermal,calorific value,30-40,MJ/kg,,,almost three times higher than other municipal solid waste,Scott (1999) stated that mixed plastics have a calorific value between 30-40 MJ/kg which is almost three times higher than other municipal solid waste with calorific value of 10 MJ/kg.,Page 9,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
municipal solid waste,MUNI,,Thermal,calorific value,10,MJ/kg,,,,Scott (1999) stated that mixed plastics have a calorific value between 30-40 MJ/kg which is almost three times higher than other municipal solid waste with calorific value of 10 MJ/kg.,Page 9,text,True,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
plastic wastes,PLAS,,Environmental,plastic wastes sent to landfill sites,79,%,,,,It has been estimated that around 79% of plastic wastes are sent to landfill sites (Ritchie and Roser 2018).,Page 8,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
LDPE,LDPE,,Thermal,Calorific value,40-44,MJ/kg,,,,"Plastic type | Structure | Calorific value (MJ/kg) | CO 2 e emission* (kg CO 2 e/tonne polymer) | Toxic gases from combustion
LDPE HDPE |  | 40- 44 37-40 | 3050 3072 3349 Pre-proof | Dioxins Furans Carbon monoxide Carbon dioxide Benzene Formaldehyde",Page 10,table,True,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
LDPE,LDPE,,Chemical,CO2e emission,3050,kg CO2e/tonne polymer,,,Over the life cycle of plastic from production to its conversion.,"Plastic type | Structure | Calorific value (MJ/kg) | CO 2 e emission* (kg CO 2 e/tonne polymer) | Toxic gases from combustion
LDPE HDPE |  | 40- 44 37-40 | 3050 3072 3349 Pre-proof | Dioxins Furans Carbon monoxide Carbon dioxide Benzene Formaldehyde",Page 10,table,True,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
HDPE,HDPE,,Thermal,Calorific value,37-40,MJ/kg,,,,"Plastic type | Structure | Calorific value (MJ/kg) | CO 2 e emission* (kg CO 2 e/tonne polymer) | Toxic gases from combustion
LDPE HDPE |  | 40- 44 37-40 | 3050 3072 3349 Pre-proof | Dioxins Furans Carbon monoxide Carbon dioxide Benzene Formaldehyde",Page 10,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
HDPE,HDPE,,Chemical,CO2e emission,3072,kg CO2e/tonne polymer,,,Over the life cycle of plastic from production to its conversion.,"Plastic type | Structure | Calorific value (MJ/kg) | CO 2 e emission* (kg CO 2 e/tonne polymer) | Toxic gases from combustion
LDPE HDPE |  | 40- 44 37-40 | 3050 3072 3349 Pre-proof | Dioxins Furans Carbon monoxide Carbon dioxide Benzene Formaldehyde",Page 10,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Thermal,Calorific value,41-44,MJ/kg,,,,Carbon dioxide PP                                                                41-44           3349                      Benzene   Formaldehyde    Acrolein Polycyclic aromatic PS                                                                38-40           4757                    hydrocarbons               Pre-proof,Page 10,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Chemical,CO2e emission,3349,kg CO2e/tonne polymer,,,Over the life cycle of plastic from production to its conversion.,Carbon dioxide PP                                                                41-44           3349                      Benzene   Formaldehyde    Acrolein Polycyclic aromatic PS                                                                38-40           4757                    hydrocarbons               Pre-proof,Page 10,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Chemical,liquid oil yield,88,wt %,,pyrolysis at 580 °C,about 10 wt % higher than oil yield in pyrolysis,"In other studies, 81 and 88 wt % liquid oil was produced by pyrolysing PS and PP at 450 and 580 °C, respectively (Miandad et al. 2016, Thahir et al. 2019).",Page 11,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Chemical,oil yield,91,wt %,,liquefaction under supercritical condition,about 10 wt % higher than oil yield in pyrolysis,"Chen et al. (2019), obtained 91 wt % oil from liquefaction of PP plastic waste under a supercritical condition, which was about 10 wt % higher than oil yield in pyrolysis.",Page 13,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Chemical,oil yield difference (HTL vs pyrolysis),10,wt %,,,,"Chen et al. (2019), obtained 91 wt % oil from liquefaction of PP plastic waste under a supercritical condition, which was about 10 wt % higher than oil yield in pyrolysis.",Page 13,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Physical,Weight loss,12,%,,"Biodegradation by Bacillus cereus, 40 days","Reference: (Auta et al., 2017)","Bacillus cereus | PP | 40 | 12 | (Auta et al., 2017)",Page 17,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Chemical,Weight loss,0.65,%,,Heat (100 °C) for 8 days,,PP Bacillus flexus Heat (100 °C) 8 365 0.65 (Arkatkar et al. 2010),Page 29,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Chemical,Biodegradation,11,,,Incubation with Sporosarcina globispora for 40 (time units),,Sporosarcina globispora       PP        40           11          (Auta et al. 2017),Page 18,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PP,PP,,Chemical,Incubation time,40,,,with Sporosarcina globispora,,Sporosarcina globispora       PP        40           11          (Auta et al. 2017),Page 18,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PS,PS,,Thermal,Calorific value,38-40,MJ/kg,,,,Carbon dioxide PP                                                                41-44           3349                      Benzene   Formaldehyde    Acrolein Polycyclic aromatic PS                                                                38-40           4757                    hydrocarbons               Pre-proof,Page 10,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PS,PS,,Chemical,CO2e emission,4757,kg CO2e/tonne polymer,,,Over the life cycle of plastic from production to its conversion.,Carbon dioxide PP                                                                41-44           3349                      Benzene   Formaldehyde    Acrolein Polycyclic aromatic PS                                                                38-40           4757                    hydrocarbons               Pre-proof,Page 10,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PS,PS,,Chemical,liquid oil yield,81,wt %,,pyrolysis at 450 °C,,"In other studies, 81 and 88 wt % liquid oil was produced by pyrolysing PS and PP at 450 and 580 °C, respectively (Miandad et al. 2016, Thahir et al. 2019).",Page 11,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PS,PS,,Physical,Weight loss,23,%,,"Biodegradation by Bacillus subtilis, 30 days",Reference: (Mohan et al. 2016),Bacillus subtilis | PS | 30 | 23 | (Mohan et4 al. 2016),Page 17,table,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PS,LDPE,,Chemical,Weight loss,9.2,%,,secretion of surfactin from B. subtilis,,Vimala and Mathew (2016) also showed that the secretion of surfactin from B. subtilis could increase the weight loss up to 9.2 %.,Page 32,text,False,True,exact,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
PS,PS,,Chemical,Biodegradation,0.86,,,Incubation with Rhodococcus rubber C208 for 56 (time units),,Rhodococcus rubber C208     PS        56             0.86        (Mor and Sivan 2008),Page 18,text,False,True,embedding,https://doi.org/10.1016/j.biotechadv.2021.107731,,meherfirst.pdf,meherfirst_gt_missing,Consensus+Verified,2026-06-17T01:36:28.834993,,,
